RMSE_NoAug,R2_NoAug,RMSE_Aug,R2_Aug,N_Train_NoAug,N_Train_Aug,N_Test,trial,max_heavy,max_ratio,min_common,pearson_thresh,crmsd_thresh,std_threshold
0.6314662239596531,0.7193387806512971,0.6221854996970663,0.7275279702803571,1773,2079,218,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.7323683708687456,0.6323285741576764,0.7472840533421926,0.6171998063016585,1789,1987,202,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.6305716949604316,0.7041964738465178,0.6102897496057174,0.7229191230847658,1792,2189,199,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.6590654312087106,0.7409155675051248,0.6657612694882195,0.7356244393478342,1808,2248,183,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.6405968668926444,0.7426054412571155,0.6382053664452486,0.7445236841324683,1803,2223,188,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.6358371927212192,0.6999680328428016,0.6351077661946732,0.7006560257632659,1785,2153,206,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.743616628352017,0.6268994747973363,0.73525857092917,0.6352394460089613,1802,2193,189,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.5785799876287975,0.7458104659600728,0.559765548005408,0.7620733005808252,1793,2132,198,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.693747651603217,0.6221133801958582,0.6972187162306306,0.6183225197941895,1788,2170,203,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.7393795348810593,0.6387512986447044,0.7205878749333281,0.6568805449523971,1786,2163,205,0,13,0.20694136519761727,4,0.3281095702227851,1.7753759391778479,2.0628054066439114
0.629418633843278,0.7211559717876077,0.6371628774020831,0.7142520747888959,1773,1836,218,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.7379407571561731,0.626712270411545,0.7488801391427202,0.615562853302533,1789,1838,202,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.6293020986661517,0.7053864194004309,0.6290354818820763,0.7056360047303909,1792,1938,199,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.6647282283055445,0.7364442495877137,0.6724277829330981,0.730303350818523,1808,1926,183,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.6453984746707715,0.7387323670476402,0.6521573641735701,0.7332315000554666,1803,1954,188,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.6357441739137185,0.700055811836207,0.6375159360836307,0.6983816469405446,1785,1901,206,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.7494636576105304,0.6210090569497728,0.7503560620435433,0.6201059723144751,1802,1915,189,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.5779864105662986,0.7463317549232721,0.5758751103421157,0.7481815964891778,1793,1931,198,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.6945040854356775,0.6212888669571871,0.6950570326867201,0.6206855857185638,1788,1906,203,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.7392361632127946,0.6388913831480062,0.734239014620862,0.6437569845826627,1786,1872,205,1,12,0.1733420154323635,5,0.5665734227459691,1.5966635849877835,1.335750398325686
0.6349697459649364,0.7162157931748008,0.5766764197886226,0.765929575326933,1773,4768,218,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.7430583998800735,0.6215167926038523,0.7541901429612926,0.6100917509314998,1789,5040,202,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.631726481070877,0.7031120528732304,0.5763065811146822,0.7529177427583086,1792,4928,199,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.6705709002605231,0.7317908074185906,0.6654344887632715,0.7358839066340714,1808,4883,183,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.6399588761832934,0.7431178807396371,0.597390595598776,0.7761554606892264,1803,5164,188,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.6356415753970913,0.7001526160126277,0.5866420848631105,0.7445992875924452,1785,5116,206,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.7438637866706593,0.6266514162686199,0.717730769958857,0.6524231798195694,1802,5252,189,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.573321861827912,0.7504096130274233,0.6309110083531031,0.6977494779302347,1793,4685,198,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.692483817671257,0.623488955048318,0.6606839593347451,0.6572748397265302,1788,5067,203,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.7396652516131257,0.6384720516921645,0.7057841520722757,0.6708337893926539,1786,4984,205,2,19,0.35954872265253884,3,0.2883373535316227,2.6803898505699855,2.9895712614830936
0.6270333524569874,0.7232654141937094,0.5902997514406613,0.7547396426522102,1773,3439,218,3,19,0.3762403485114933,3,0.20205761589293778,0.4290576548342411,1.4822104766096593
